0.0	1434	309	0
5e-05	1392	267	42
0.00015	1371	246	63
0.0003	1330	205	104
0.0005	1302	177	132
0.00075	1266	141	168
0.00105	1240	115	194
0.0014	1215	90	219
0.0018	1192	67	242
0.00225	1175	50	259
0.00275	1166	41	268
0.0033	1154	29	280
0.0039	1148	23	286
0.00455	1147	22	287
0.00525	1152	27	282
0.006	1152	27	282
0.0068	1147	22	287
0.00765	1142	17	292
0.00855	1141	16	293
0.0095	1138	13	296
0.0105	1148	23	286
0.01155	1144	19	290
0.01265	1137	12	297
0.0138	1136	11	298
0.015	1141	16	293
0.01625	1142	17	292
0.01755	1147	22	287
0.0189	1147	22	287
0.0203	1138	13	296
0.02175	1144	19	290
0.02325	1145	20	289
0.0248	1142	17	292
0.0264	1139	14	295
0.02805	1145	20	289
0.02975	1147	22	287
0.0315	1148	23	286
0.0333	1140	15	294
0.03515	1144	19	290
0.03705	1141	16	293
0.039	1148	23	286
0.041	1147	22	287
0.04305	1141	16	293
